Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,bl_impact,residuals
Abeomelomys sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial,27.147328812896117,-0.14732881289611655
Acomys johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial,23.934271347945604,-5.934271347945604
Acomys minous,116,19,53,16.4,27.5,4.7,35.23,Forest,Terrestrial,26.013308531148876,-7.013308531148876
Acomys muzei,86,16,19,22,29.8,13.3,-6.68,Savanna,Terrestrial,20.343207122412675,-4.343207122412675
Acomys nesiotes,118,20,52,18.2,32,4.4,35.05,Rocky Areas,Terrestrial,26.39131529173129,-6.3913152917312885
Acomys ngurui,91,15,23,23.9,31.1,16,-8.63,Forest,Terrestrial,21.288224023868707,-6.2882240238687075
Acomys percivali,97,13,30,25.2,32.5,17.4,3.11,Savanna,Terrestrial,22.422244305615948,-9.422244305615948
Acomys russatus,109,19,37,24.2,37.2,9.6,22.12,Rocky Areas,Terrestrial,24.690284869110428,-5.690284869110428
Aethomys hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial,33.95145050337956,-1.9514505033795615
Aethomys ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial,31.872413320176285,-1.8724133201762854
Aethomys kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial,31.683409939885077,-6.6834099398850775
Aethomys nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial,31.116399799011457,-2.1163997990114574
Apodemus alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial,23.367261207071984,0.6327387929280164
Apodemus epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial,27.714338953769737,-1.7143389537697367
Apodemus semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial,23.178257826780776,0.8217421732192243
Apomys abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,30.549389658137837,5.450610341862163
Apomys aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,30.549389658137837,4.450610341862163
Apomys banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial,30.171382897555425,5.828617102444575
Apomys brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial,28.848359235516977,5.151640764483023
Apomys camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial,24.879288249401636,8.120711750598364
Apomys datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial,29.79337613697301,6.206623863026991
Apomys gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial,32.439423461049905,5.5605765389500945
Apomys hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial,25.25729500998405,4.742704990015952
Apomys insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial,22.611247685907156,7.388752314092844
Apomys iridensis,148,38,96,24.8,30.7,18.6,14.89,Forest,Terrestrial,32.06141670046749,5.93858329953251
Apomys littoralis,99,25,22,25.6,31.9,19.3,7.47,Forest,Terrestrial,22.800251066198364,2.1997489338016365
Apomys lubangensis,136,39,90,27,32.3,22.3,13.78,Forest,Terrestrial,29.79337613697301,9.20662386302699
Apomys magnus,147,40,104,22.9,28.8,16.9,14.06,Forest,Terrestrial,31.872413320176285,8.127586679823715
Apomys microdon,107,27,36,24.4,30.3,17.9,15.86,Forest,Terrestrial,24.312278108528016,2.687721891471984
Apomys minganensis,137,33,75,24.1,30,17.6,15.61,Forest,Terrestrial,29.982379517264217,3.017620482735783
Apomys musculus,88,22,20,24.3,30.2,18.1,15.04,Forest,Terrestrial,20.721213882995087,1.2787861170049126
Apomys sacobianus,154,38,92,24.9,31,18.9,15.14,Forest,Terrestrial,33.19543698221473,4.80456301778527
Apomys sierrae,140,36,82,23.5,29.5,16.6,16.87,Forest,Terrestrial,30.549389658137837,5.450610341862163
Apomys zambalensis,143,38,88,24.8,30.8,19,15.32,Forest,Terrestrial,31.116399799011457,6.883600200988543
Arvicanthis blicki,127,29,98,13.4,21.4,4.5,7.05,Grassland,Terrestrial,28.09234571435215,0.9076542856478511
Arvicanthis neumanni,146,28,85,24.1,32,15.8,2.95,Savanna,Terrestrial,31.683409939885077,-3.6834099398850775
Arvicanthis niloticus,141,31,102,25.6,35.1,15,8.82,Savanna,Terrestrial,30.738393038429045,0.26160696157095487
Arvicanthis rufinus,144,33,103,26.3,33.2,18.2,8.09,Savanna,Terrestrial,31.305403179302665,1.6945968206973347
Bandicota bengalensis,195,35,244,24.8,35.9,12.2,21.17,Forest,Terrestrial,40.944575574154214,-5.944575574154214
Batomys granti,202,36,179,19.3,25.7,12.1,17.07,Forest,Terrestrial,42.26759923619266,-6.267599236192659
Batomys hamiguitan,183,35,173,24.1,30.2,17.9,6.73,Forest,NA,38.67653501065973,-3.6765350106597268
Batomys russatus,151,30,115,26.9,31.8,21.6,10.15,Forest,Terrestrial,32.62842684134111,-2.62842684134111
Batomys salomonseni,185,37,190,25.4,31.1,19.4,9.47,Forest,Terrestrial,39.05454177124214,-2.0545417712421425
Batomys uragon,186,37,168,23.3,28.7,17.4,13.66,Forest,Terrestrial,39.24354515153335,-2.243545151533347
Berylmys berdmorei,204,42,238,24.8,32,15.9,16.61,Forest,Terrestrial,42.645605996775075,-0.6456059967750747
Berylmys bowersi,266,59,407,19.9,30.1,8.4,22.43,Forest,Terrestrial,54.363815574829886,4.636184425170114
Bullimus bagobus,226,64,396,26.1,31.8,20.2,8.39,Forest,Terrestrial,46.80368036318162,17.19631963681838
Bullimus gamay,234,52,368,26.4,32,20.8,9.17,Forest,Terrestrial,48.315707405511276,3.684292594488724
Bullimus luzonicus,249,52,444,23.8,29.9,17,16.23,Forest,Terrestrial,51.150758109879376,0.8492418901206236
Bunomys fratrorum,174,40,175,24.4,29,19.8,1.01,Forest,Terrestrial,36.975504588038866,3.0244954119611336
Bunomys karokophilus,172,39,162,22.1,27.4,16.5,-1.35,Forest,Terrestrial,36.59749782745646,2.4025021725435423
Bunomys torajae,183,38,113,16.2,21.9,10.4,-2.87,Forest,Terrestrial,38.67653501065973,-0.6765350106597268
Carpomys melanurus,182,33,165,19.6,25.8,12.6,16.54,Forest,Arboreal,38.48753163036852,-5.487531630368522
Carpomys phaeurus,170,32,123,18.8,25.2,11.4,17.08,Forest,Arboreal,36.21949106687404,-4.219491066874042
Chiropodomys major,104,24,42,26.4,31.9,20.9,3.56,Forest,Arboreal,23.745267967654396,0.25473203234560415
Chiruromys forbesi,121,29,73,24.6,30.1,18.6,-8.83,Forest,Arboreal,26.95832543260491,2.0416745673950913
Chiruromys vates,110,24,46,24.9,31.6,17.6,-7.45,Forest,Arboreal,24.879288249401636,-0.8792882494016361
Chrotomys gonzalesi,167,36,122,24.2,29.4,18.3,13.69,Forest,Terrestrial,35.65248092600042,0.34751907399957815
Chrotomys sibuyanensis,160,34,104,24.1,29.5,18.5,12.41,Forest,Terrestrial,34.32945726396198,-0.3294572639619773
Chrotomys silaceus,148,35,84,18.9,25.3,11.6,17.07,Forest,Terrestrial,32.06141670046749,2.9385832995325103
Chrotomys whiteheadi,190,43,238,21.9,28.3,14.7,17.04,Forest,Terrestrial,39.99955867269818,3.0004413273018216
Crateromys heaneyi,280,64,124,25.1,30.9,19.3,11.26,Forest,Arboreal,57.00986289890678,6.990137101093218
Crateromys schadenbergi,336,72,1450,18.6,25,11.4,16.85,Forest,Arboreal,67.59405219521436,4.40594780478564
Crunomys celebensis,141,26,45,18.9,24.6,13.2,-2.34,Forest,Terrestrial,30.738393038429045,-4.738393038429045
Crunomys melanius,110,26,54,25.6,31.8,19.4,7.33,Forest,Terrestrial,24.879288249401636,1.120711750598364
Crunomys suncoides,108,27,37,20.3,27.2,12.8,8.13,Forest,Terrestrial,24.501281488819224,2.498718511180776
Dasymys foxi,157,34,118,25,33.8,14.6,10.03,Savanna,Terrestrial,33.76244712308835,0.23755287691164995
Dasymys montanus,145,30,85,13.5,18.2,8.6,0.37,Forest,Terrestrial,31.49440655959387,-1.4944065595938696
Dasymys rufulus,144,33,78,26.5,33.6,18.1,8.73,Savanna,Terrestrial,31.305403179302665,1.6945968206973347
Dendromus insignis,84,20,14,15.1,20.9,8.9,0.98,Forest,Terrestrial,19.965200361830263,0.03479963816973708
Dendromus kahuziensis,80,22,11,14.1,18.3,9.6,-2.2,Forest,Terrestrial,19.209186840665435,2.790813159334565
Dendromus kivu,74,19,10,16.4,21.9,10.8,-1.32,Forest,Terrestrial,18.075166558918195,0.9248334410818053
Dendromus lovati,74,18,16,15.1,23.8,5.9,10.21,Grassland,Terrestrial,18.075166558918195,-0.07516655891819468
Dendromus melanotis,69,18,7,20.7,31.6,8,-16.18,Savanna,Terrestrial,17.130149657462162,0.8698503425378377
Dendromus messorius,60,17,8,23.3,29.5,16.5,3.42,Grassland,Terrestrial,15.429119234841302,1.570880765158698
Dendromus nyikae,67,17,10,21.2,31.2,9.3,-13.02,Savanna,Terrestrial,16.752142896879747,0.24785710312025344
Dendromus oreas,69,19,11,21.6,26.8,16.4,4.42,Grassland,Terrestrial,17.130149657462162,1.8698503425378377
Dendromus ruppi,74,20,11,21.2,27.8,14.3,4.02,Forest,Terrestrial,18.075166558918195,1.9248334410818053
Deomys ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial,29.982379517264217,8.017620482735783
Dephomys defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal,27.903342334060945,-1.9033423340609446
Desmodillus auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial,24.690284869110428,0.3097151308895718
Desmomys harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial,29.79337613697301,-1.7933761369730092
Desmomys yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial,27.52533557347853,0.47466442652147123
Dinomys branickii,760,NA,12500,23,28.9,16.6,-5.7,Forest,Terrestrial,147.731485438686,NA
Echiothrix leucura,213,51,274,24.4,29,19.9,1.08,Forest,Terrestrial,44.346636419395935,6.653363580604065
