Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,blmass_impact,residuals
Abeomelomys sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial,27.10469575393816,-0.10469575393815944
Acomys johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial,24.005417033057693,-6.005417033057693
Acomys minous,116,19,53,16.4,27.5,4.7,35.23,Forest,Terrestrial,26.024405367629225,-7.024405367629225
Acomys muzei,86,16,19,22,29.8,13.3,-6.68,Savanna,Terrestrial,20.544231824521063,-4.544231824521063
Acomys nesiotes,118,20,52,18.2,32,4.4,35.05,Rocky Areas,Terrestrial,26.380882778625836,-6.3808827786258355
Acomys ngurui,91,15,23,23.9,31.1,16,-8.63,Forest,Terrestrial,21.45306985115613,-6.45306985115613
Acomys percivali,97,13,30,25.2,32.5,17.4,3.11,Savanna,Terrestrial,22.549647467443723,-9.549647467443723
Acomys russatus,109,19,37,24.2,37.2,9.6,22.12,Rocky Areas,Terrestrial,24.723800931710468,-5.723800931710468
Aethomys hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial,33.81988836815242,-1.8198883681524194
Aethomys ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial,31.670602193751705,-1.670602193751705
Aethomys kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial,31.529009755705356,-6.529009755705356
Aethomys nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial,30.973934601737128,-1.9739346017371275
Apodemus alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial,23.450341879089464,0.5496581209105358
Apodemus epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial,27.648912754587297,-1.6489127545872968
Apodemus semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial,23.27617498108582,0.7238250189141802
Apomys abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,30.37814137282228,5.621858627177719
Apomys aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,30.40257221779025,4.597427782209749
Apomys banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial,30.04609480679363,5.953905193206371
Apomys brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial,28.77263575417263,5.227364245827371
Apomys camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial,24.91154052136299,8.08845947863701
Apomys datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial,29.700475549116117,6.299524450883883
Apomys gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial,32.22567734771993,5.77432265228007
Apomys hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial,25.284305162338253,4.715694837661747
Apomys insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial,22.73195798043669,7.26804201956331
