Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Abeomelomys sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial
Acomys johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial
Acomys minous,116,19,53,16.4,27.5,4.7,35.23,Forest,Terrestrial
Acomys muzei,86,16,19,22,29.8,13.3,-6.68,Savanna,Terrestrial
Acomys nesiotes,118,20,52,18.2,32,4.4,35.05,Rocky Areas,Terrestrial
Acomys ngurui,91,15,23,23.9,31.1,16,-8.63,Forest,Terrestrial
Acomys percivali,97,13,30,25.2,32.5,17.4,3.11,Savanna,Terrestrial
Acomys russatus,109,19,37,24.2,37.2,9.6,22.12,Rocky Areas,Terrestrial
Aethomys hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial
Aethomys ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial
Aethomys kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial
Aethomys nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial
Apodemus alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial
Apodemus epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial
Apodemus semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial
Apomys abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial
Apomys aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial
Apomys banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial
Apomys brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial
Apomys camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial
Apomys datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial
Apomys gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial
Apomys hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial
Apomys insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial
Apomys iridensis,148,38,96,24.8,30.7,18.6,14.89,Forest,Terrestrial
Apomys littoralis,99,25,22,25.6,31.9,19.3,7.47,Forest,Terrestrial
Apomys lubangensis,136,39,90,27,32.3,22.3,13.78,Forest,Terrestrial
Apomys magnus,147,40,104,22.9,28.8,16.9,14.06,Forest,Terrestrial
Apomys microdon,107,27,36,24.4,30.3,17.9,15.86,Forest,Terrestrial
Apomys minganensis,137,33,75,24.1,30,17.6,15.61,Forest,Terrestrial
Apomys musculus,88,22,20,24.3,30.2,18.1,15.04,Forest,Terrestrial
Apomys sacobianus,154,38,92,24.9,31,18.9,15.14,Forest,Terrestrial
Apomys sierrae,140,36,82,23.5,29.5,16.6,16.87,Forest,Terrestrial
Apomys zambalensis,143,38,88,24.8,30.8,19,15.32,Forest,Terrestrial
Arvicanthis blicki,127,29,98,13.4,21.4,4.5,7.05,Grassland,Terrestrial
Arvicanthis neumanni,146,28,85,24.1,32,15.8,2.95,Savanna,Terrestrial
Arvicanthis niloticus,141,31,102,25.6,35.1,15,8.82,Savanna,Terrestrial
Arvicanthis rufinus,144,33,103,26.3,33.2,18.2,8.09,Savanna,Terrestrial
Bandicota bengalensis,195,35,244,24.8,35.9,12.2,21.17,Forest,Terrestrial
Batomys granti,202,36,179,19.3,25.7,12.1,17.07,Forest,Terrestrial
Batomys hamiguitan,183,35,173,24.1,30.2,17.9,6.73,Forest,
Batomys russatus,151,30,115,26.9,31.8,21.6,10.15,Forest,Terrestrial
Batomys salomonseni,185,37,190,25.4,31.1,19.4,9.47,Forest,Terrestrial
Batomys uragon,186,37,168,23.3,28.7,17.4,13.66,Forest,Terrestrial
Berylmys berdmorei,204,42,238,24.8,32,15.9,16.61,Forest,Terrestrial
Berylmys bowersi,266,59,407,19.9,30.1,8.4,22.43,Forest,Terrestrial
Bullimus bagobus,226,64,396,26.1,31.8,20.2,8.39,Forest,Terrestrial
Bullimus gamay,234,52,368,26.4,32,20.8,9.17,Forest,Terrestrial
Bullimus luzonicus,249,52,444,23.8,29.9,17,16.23,Forest,Terrestrial
Bunomys fratrorum,174,40,175,24.4,29,19.8,1.01,Forest,Terrestrial
